OBJECTID,Route,FullName,Direction,Length,City,Type,RouteID
348,61,Fountain,Eastbound,12.93706656,Kitchener/Cambridge,30,283
350,36,Thomas Slee,Westbound,6.06650635,Kitchener,30,280
351,61,Fountain,Westbound,11.31371134,Kitchener/Cambridge,30,282
353,36,Thomas Slee,Eastbound,6.20622383,Kitchener,30,281
354,206,iXpress Coronation,Southbound,19.51385198,Kitchener/Cambridge,15,286
355,206,iXpress Coronation,Northbound,19.40760224,Kitchener/Cambridge,15,287
356,72,Boxwood Flex (Heroux Devtek),Eastbound,2.17198793,Kitchener/Cambridge,,294
357,57,Blair,Southbound,12.21255803,Kitchener/Cambridge,30,291
358,67,Eagle-Pinebush,Westbound,16.38675965,Kitchener/Cambridge,30,297
359,57,Blair,Northbound,11.54883649,Kitchener/Cambridge,30,290
360,72,Boxwood Flex,Eastbound,6.74438958,Kitchener/Cambridge,30,292
361,67,Eagle-Pinebush,Eastbound,16.85625249,Kitchener/Cambridge,30,296
362,55,Grand Ridge,Clockwise,9.82658549,Cambridge,30,289
363,55,Grand Ridge,Counterclockwise,10.34451578,Cambridge,30,288
364,72,Boxwood Flex (Toyota),Eastbound,2.41773772,Kitchener/Cambridge,,295
365,72,Boxwood Flex,Westbound,2.8927095,Kitchener/Cambridge,30,293
367,20,Victoria-Frederick,Westbound,32.83997559,Kitchener,15,907
368,33,Huron,Westbound,31.06468495,Kitchener,30,922
369,26,Trillium,Loop,12.12797657,Kitchener,30,913
370,28,Franklin North,Southbound,5.64918312,Kitchener,40,916
371,23,Idlewood,Southbound,19.3835279,Kitchener,30,955
372,201,Fischer-Hallman,Southbound,54.41317759,Kitchener/Waterloo,10,969
373,16,Strasburg-Belmont,Peak Trippers,11.28756469,Kitchener/Waterloo,30,904
374,12,Westmount,Northbound,16.47411014,Kitchener/Waterloo,15,898
375,12,Westmount,Southbound,16.47411014,Kitchener/Waterloo,15,899
376,31,Columbia,Eastbound,16.64647215,Waterloo,30,921
377,76,Doon Mills (to CCOL),Southbound,6.51096113,Kitchener,30,937
379,10,Pioneer (via Old Carriage),Southbound,8.07717939,Kitchener,15,894
380,301,ION LRT,Northbound,32.49587665,Kitchener/Waterloo,10,947
381,29,Keats-University,Northbound,17.18082121,Waterloo,30,917
383,21,Elmira,Southbound,14.86364841,Waterloo/Woolwich,30,909
384,56,Dunbar,CounterClockwise,10.66313111,Cambridge,30,961
385,6,Bridge-Courtland,Northbound,18.72663319,Kitchener/Waterloo,30,887
386,34,Bingemans,Westbound,15.22550764,Kitchener,30,923
387,22,Laurentian West,Eastbound,8.94619504,Kitchener,30,910
388,302,ION BUS,Northbound,41.60888937,Kitchener/Cambridge,10,948
389,204,Highland-Victoria,Westbound,16.50307139,Kitchener,15,945
390,77,Wilmot,Westbound,40.47720612,Kitchener/Wilmot,30,939
391,8,Weber,Southbound,12.42765259,Kitchener/Waterloo,15,891
392,201,Fischer-Hallman,Northbound,54.41317759,Kitchener/Waterloo,10,941
394,23,Idlewood,Northbound,19.3835279,Kitchener,30,912
396,204,Highland-Victoria,Eastbound,16.57059141,Kitchener,15,944
