service_id,service_date,exception_type
10-Holiday1-1-2024_3-0000001,20240701,1
10-Holiday1-1-2024_3-0000001,20240805,1
10-Saturday-1-2024_2-0000010,20240622,1
10-Saturday-1-2024_3-0000010,20240629,1
10-Sunday-1-2024_2-0000001,20240623,1
10-Sunday-1-2024_3-0000001,20240630,1
10-Sunday-1-2024_3-0000001,20240707,1
10-Sunday-1-2024_3-0000001,20240714,1
10-Sunday-1-2024_3-0000001,20240721,1
10-Weekday-1-2024_2-1111100,20240617,1
10-Weekday-1-2024_2-1111100,20240618,1
10-Weekday-1-2024_3-1111100,20240828,1
10-Weekday-1-2024_3-1111100,20240829,1
10-Weekday-1-2024_3-1111100,20240830,1
12-Holiday1-1-2024_3-0000001,20240701,1
12-Holiday1-1-2024_3-0000001,20240805,1
12-Saturday-1-2024_2-0000010,20240622,1
27-Weekday-2-2024_3-1111100,20240702,1
202-Holiday1-1-2024_3-0000001,20240701,1
202-Holiday1-1-2024_3-0000001,20240805,1
