trip_id,arrival_time,departure_time,stop_id,stop_sequence
3550051,19:00:00,19:00:00,3489,1
3550051,19:01:00,19:01:00,1697,2
3550051,19:02:00,19:02:00,1698,3
3550051,19:03:00,19:03:00,1699,4
3550051,19:04:00,19:04:00,1700,5
3550051,19:05:00,19:05:00,1701,6
3550051,19:06:00,19:06:00,1703,7
3550051,19:07:00,19:07:00,1704,8
3550051,19:08:00,19:08:00,1705,9
3550051,19:09:00,19:09:00,1706,10
3550051,19:10:00,19:10:00,1714,11
3550051,19:11:00,19:11:00,1715,12
3550051,19:12:00,19:12:00,1745,13
3550051,19:13:00,19:13:00,1717,14
3550051,19:14:00,19:14:00,1718,15
3550051,19:14:00,19:14:00,1719,16
3550051,19:15:00,19:15:00,1720,17
3550051,19:15:00,19:15:00,1721,18
3550051,19:17:00,19:17:00,1722,19
3550051,19:18:00,19:18:00,1723,20
3550051,19:18:00,19:18:00,1724,21
3550051,19:19:00,19:19:00,1725,22
3550051,19:19:00,19:19:00,1726,23
3550051,19:20:00,19:20:00,1727,24
3550051,19:21:00,19:21:00,1731,25
3550051,19:22:00,19:22:00,1732,26
3550052,10:00:00,10:00:00,3489,1
3550052,10:01:00,10:01:00,1697,2
3550052,10:02:00,10:02:00,1698,3
3550052,10:03:00,10:03:00,1699,4
3550052,10:04:00,10:04:00,1700,5
3550052,10:05:00,10:05:00,1701,6
3550052,10:06:00,10:06:00,1703,7
3550052,10:07:00,10:07:00,1704,8
3550052,10:08:00,10:08:00,1705,9
3550052,10:09:00,10:09:00,1706,10
3550052,10:10:00,10:10:00,1714,11
3550052,10:11:00,10:11:00,1715,12
3550052,10:12:00,10:12:00,1745,13
3550052,10:13:00,10:13:00,1717,14
3550052,10:14:00,10:14:00,1718,15
3550052,10:14:00,10:14:00,1719,16
3550052,10:15:00,10:15:00,1720,17
3550052,10:15:00,10:15:00,1721,18
3550052,10:17:00,10:17:00,1722,19
3550052,10:18:00,10:18:00,1723,20
3550052,10:18:00,10:18:00,1724,21
3550052,10:19:00,10:19:00,1725,22
3550052,10:19:00,10:19:00,1726,23
3550052,10:20:00,10:20:00,1727,24
3550052,10:21:00,10:21:00,1731,25
3550052,10:22:00,10:22:00,1732,26
3539931,15:45:00,15:45:00,3489,1
3539931,15:46:00,15:46:00,1697,2
3539931,15:48:00,15:48:00,1698,3
3539931,15:49:00,15:49:00,1699,4
3539931,15:50:00,15:50:00,1700,5
3539931,15:51:00,15:51:00,1701,6
3539931,15:53:00,15:53:00,1703,7
3539931,15:54:00,15:54:00,1704,8
3539931,15:55:00,15:55:00,1705,9
3539931,15:56:00,15:56:00,1706,10
3539931,15:57:00,15:57:00,1714,11
3539931,15:58:00,15:58:00,1715,12
3539931,15:59:00,15:59:00,1745,13
3539931,16:00:00,16:00:00,1824,14
3539931,16:02:00,16:02:00,1826,15
3539931,16:03:00,16:03:00,1827,16
3539931,16:04:00,16:04:00,1867,17
3539931,16:07:00,16:07:00,3641,18
3539931,16:08:00,16:08:00,1731,19
3539931,16:09:00,16:09:00,1732,20
3539963,9:00:00,9:00:00,3489,1
3539963,9:01:00,9:01:00,1697,2
3539963,9:03:00,9:03:00,1698,3
3539963,9:04:00,9:04:00,1699,4
3539963,9:04:00,9:04:00,1700,5
3539963,9:05:00,9:05:00,1701,6
3539963,9:07:00,9:07:00,1703,7
3539963,9:08:00,9:08:00,1704,8
3539963,9:09:00,9:09:00,1705,9
3539963,9:10:00,9:10:00,1706,10
3539963,9:11:00,9:11:00,1714,11
3539963,9:12:00,9:12:00,1715,12
3539963,9:13:00,9:13:00,1745,13
3539963,9:14:00,9:14:00,1717,14
3539963,9:15:00,9:15:00,1718,15
3539963,9:15:00,9:15:00,1719,16
3539963,9:16:00,9:16:00,1720,17
3539963,9:16:00,9:16:00,1721,18
3539963,9:19:00,9:19:00,1722,19
3539963,9:20:00,9:20:00,1723,20
3539963,9:20:00,9:20:00,1724,21
3539963,9:21:00,9:21:00,1725,22
3539963,9:22:00,9:22:00,1726,23
3539963,9:22:00,9:22:00,1727,24
3539963,9:24:00,9:24:00,1731,25
3539963,9:25:00,9:25:00,1732,26
3535928,6:00:00,6:00:00,3491,1
3535928,6:02:00,6:02:00,1047,2
3535928,6:04:00,6:04:00,4107,3
3535928,6:06:00,6:06:00,1563,4
3535928,6:07:00,6:07:00,1565,5
3535928,6:11:00,6:11:00,1655,6
3535928,6:12:00,6:12:00,1642,7
3535928,6:12:00,6:12:00,1647,8
3535928,6:13:00,6:13:00,1648,9
3535928,6:13:00,6:13:00,1649,10
3535928,6:14:00,6:14:00,1650,11
3535928,6:14:00,6:14:00,1651,12
