stop_id,stop_name,location_type,wheelchair_boarding
1000,Frederick Station (Frederick/King),0,1
1001,Frederick/Region Of Waterloo Headquarters,0,1
1002,Frederick/Otto,0,1
1003,Frederick/Samuel,0,1
1004,Frederick/Merner,0,1
1005,Union/Devitt,0,2
1006,Frederick/Frederick Mall,0,1
1007,Frederick/Ann,0,1
1008,Frederick/Bruce,0,1
1009,Frederick/Lois,0,1
1010,Frederick/River,0,1
1011,Franklin/Lindsay,0,1
1012,River/Manchester,0,1
1013,River/Lorraine,0,1
1014,River/Hickson,0,1
1015,River/Path To Secord,0,1
1016,River/Ottawa,0,1
1017,River/Stanley Park Mall,0,1
1018,River/Conway,0,1
1019,River/Bradley,0,2
1020,Maple Grove/Boxwood,0,1
1021,Maple Grove/Boxwood,0,1
1022,Huron/Strasburg,0,1
1023,Victoria/Margaret,0,1
1025,Block Line/Country Hill,0,1
1026,Oldfield/Batterswood,0,2
1027,Oldfield/Casey,0,2
1028,Block Line/Kingswood,0,1
1029,Cooper/Queen,0,1
1030,Ottawa/Heritage,0,1
1031,Franklin/Green Gate,0,1
1032,Lennox Lewis/Activa Sportsplex,0,1
1033,Block Line/Hanover,0,1
1034,The Boardwalk/Medical Centre,0,1
1037,The Boardwalk/Medical Centre,0,1
1038,Fairway/Idle Creek,0,1
1039,Fairway/Old Chicopee,0,1
1040,330 The Boardwalk,0,1
1041,Fairway/Morgan,0,1
1042,Fairway/King (East Side),0,1
1043,Fairway/King (West Side),0,1
1044,Fairway/Wabanaki,0,2
1047,Fairway/Highway 8,0,1
1048,Fairway/King,0,1
1049,Fairway/Morgan,0,2
1050,Fairway/Thaler,0,1
1051,1001 Bishop St. N.,0,1
1052,Fairway/River,0,1
1053,Fairway/Fairway Cres.,0,1
1054,990 Bishop St. N.,0,1
1057,Ottawa/Lackner,0,1
1058,Cambridge Centre Station,0,1
1059,Oldfield/Jadestone,0,1
1060,Oldfield/Drumoak,0,2
1061,Oldfield/Springmount,0,2
1062,Oldfield/Lackner,0,2
1063,Cambridge Centre Station,0,1
1064,Cambridge Centre Station,0,1
1065,Cambridge Centre Station,0,1
1066,Cambridge Centre Station,0,1
1068,River/Bradley,0,1
1069,River/Conway,0,1
1070,River/Stanley Park Mall,0,1
1071,River/Ottawa,0,1
1072,River/Path To Breckenridge,0,1
1073,River/Lorraine,0,1
1074,River/Manchester,0,1
1076,Frederick/River,0,1
1077,Frederick/Lois,0,1
1078,University Of Waterloo Station,0,1
1079,Frederick/Bruce,0,1
1080,Frederick/Frederick Mall,0,1
1081,Frederick/Ann,0,1
1082,Frederick/Filbert,0,1
1083,Union/Devitt,0,1
1084,Frederick/Gordon,0,1
1085,Frederick/Lancaster,0,1
1086,Frederick/Region Of Waterloo Headquarters,0,1
1088,Frederick Station (Frederick/King),0,1
1089,Queen Station (Benton/Charles),0,1
1090,University Ave./University Of Waterloo,0,1
1092,Union/Weber,0,1
1093,Columbia/Phillip,0,1
1094,Columbia/U.W. - Optometry,0,1
1095,Ira Needles/Victoria,0,1
1096,Columbia/U.W. - Village 1,0,1
1097,Columbia/U.W. - Ron Eydt Village,0,1
1098,Columbia/Old Post,0,1
1099,Columbia/U.W. - Columbia Lake Village,0,1
1100,450 Columbia St. W.,0,1
1101,Ira Needles/Victoria,0,1
1102,Columbia/Chancery,0,1
1104,Columbia/Cavendish,0,2
1105,Columbia/Erbsville,0,1
1106,Erbsville/Willow Wood,0,1
1107,Laurelwood/Erbsville,0,1
1108,Laurelwood/Birchmount,0,1
1109,Laurelwood/Brookmill,0,1
1110,Laurelwood/Beaver Creek Cres.,0,1
1111,Laurelwood/Beaver Creek Rd.,0,2
1112,Laurelwood/Laurel Gate,0,1
1113,Fischer-Hallman/Path To Laurel Gate,0,1
1114,Fischer-Hallman/Gatestone,0,1
1115,Fischer-Hallman/Columbia,0,1
1116,Columbia/Fischer-Hallman,0,1
1117,Columbia/U.W. - Columbia Lake Village,0,1
1118,Columbia/Old Post,0,1
1119,Columbia/U.W. - Ron Eydt Village,0,2
1120,Columbia/U.W. - Village 1,0,1
1121,Chesapeake/Chesapeake Cres.,0,2
1126,Conestoga Station,0,1
1127,Conestoga Station,0,1
1128,Conestoga Station,0,1
1129,Conestoga Station,0,1
1130,Conestoga Station,0,1
1131,Northfield/King,0,1
1132,Northfield/Colby,0,1
1133,Chesapeake/Seawind,0,2
1134,Flint/Kingswood,0,1
1135,Northfield/Parkside,0,1
1136,Northfield/Weber,0,1
1137,Northfield/Northgate,0,1
1138,Northfield/Skylark,0,1
1139,Northlake/Black Oak,0,2
1140,Northlake/Green Meadow,0,1
1141,Northlake/Pine Island,0,2
1142,Highpoint/Cornerbrook,0,2
1143,Highpoint/Wintergreen,0,2
1144,Highpoint/Rolling Hills,0,2
1145,Highpoint/Dogwood,0,1
1146,Highpoint/Toll Gate,0,2
1147,Toll Gate/Glen Forrest,0,1
1148,Glen Forrest/Teakwood,0,2
1149,Cedarbrae/Glen Forrest,0,1
1150,Cedarbrae/Path To Heasley Park,0,1
1151,Flint/Kingswood,0,1
1152,Cedarbrae/Sprucehill,0,1
1155,Albert/Weber,0,1
1156,Albert/Longwood,0,1
1157,Albert/Quiet,0,1
1158,Hazel/Albert,0,1
1159,Hazel/Tamarack,0,1
1160,Hazel/Smallwood,0,1
1161,Hazel/Austin,0,1
1162,Hazel/Waterloo Collegiate Institute,0,1
1163,Hazel/Hickory,0,1
1166,University Ave./King,0,1
1167,Hazel/Wilfrid Laurier University,0,1
1168,Hazel/Hickory,0,1
1169,90 Vondrau Dr.,0,2
1170,Conestoga/Lena,0,1
1171,Hazel/Columbia,0,1
1172,Hazel/Austin,0,1
1173,Hazel/Smallwood,0,1
1174,Hazel/Blythwood,0,1
1175,Hazel/Albert,0,1
1176,Albert/Greenbrier,0,1
1177,Albert/Longwood,0,1
1178,Weber/Albert,0,1
1180,Ira Needles/Highland,0,1
1181,Cedarbrae/Mount Anne,0,1
1182,Cedarbrae/Sprucehill,0,1
1183,Cedarbrae/Path To Heasley Park,0,1
1184,Cedarbrae/Glen Forrest,0,1
1185,Glen Forrest/Brookhaven,0,2
1186,Toll Gate/Glen Forrest,0,1
1187,Toll Gate/Dogwood,0,1
1188,Toll Gate/Highpoint,0,1
1189,Highpoint/Dogwood,0,1
1190,Highpoint/Rolling Hills,0,2
1191,Highpoint/Northfield,0,2
1192,Strasburg/Ottawa,0,2
1193,Northlake/Highpoint,0,1
1194,Northlake/Green Meadow,0,2
1195,Northlake/Skylark,0,2
1196,Northfield/Skylark,0,1
1197,Northfield/Northgate,0,1
1198,Northfield/Weber (West Side),0,1
1199,Northfield/Weber (East Side),0,2
1200,Northfield/Parkside,0,2
1201,Northfield/Conestogo,0,1
1202,Northfield/King,0,1
1203,Ira Needles/Highland,0,1
1204,Davenport/Northfield,0,1
1205,Davenport/Old Abbey,0,1
1206,Davenport/Northfield (South Side),0,1
1207,Davenport/Northfield (North Side),0,1
1208,Frobisher/Davenport,0,2
1209,151 Frobisher Dr.,0,2
1210,Frobisher/Mcmurray,0,2
1211,Highland/Westforest,0,1
1212,Kraus/Northfield,0,1
1213,Columbia/Ladyslipper,0,1
1214,Columbia/Platinum,0,1
1215,Mcmurray/Northland,0,2
1216,Mcmurray/Bathurst,0,2
1217,Bathurst/Rankin,0,2
1218,Rupert/Bathurst,0,2
1219,Northland/Rupert,0,1
1220,Northland/Bathurst,0,2
1223,University Of Waterloo Station,0,1
1232,Bismark/Westmount Mews,0,2
1233,Blair/Bismark,0,2
1234,Blair/Clearview,0,2
1235,Queen/Rooshill,0,2
1236,Queen/Harvey,0,1
1237,Queen/Hungerford,0,1
1238,Queen/Panabaker,0,2
1239,Melran/River,0,2
1240,Melran/Mccormick,0,2
1241,Melran/Alderson,0,1
1242,Mcmeeken/Werstine,0,2
1243,Mcmeeken/Mccormick,0,2
1244,Kerwood/Gees,0,2
1245,Clyde/Franklin,0,1
1246,Black Bridge/Michigan,0,1
1247,Cooper/Ellis,0,1
1248,Cooper/Ontario,0,1
1249,Cooper/Lewis,0,1
1250,Queen/Guelph,0,1
1251,Queen/Harvey,0,1
1252,Queen/Winston,0,1
1253,Queen/Shepherd,0,2
1254,Queen/Shepherd,0,1
1256,Northfield Station,0,1
1257,Northfield Station,0,1
1258,Franklin/Thomas,0,1
1259,Franklin/Edward,0,1
1260,University Of Waterloo Station,0,1
1262,University Of Waterloo Station,0,1
1264,University Of Waterloo Station,0,1
1265,Winston/Cooper,0,2
1266,Winston/Darren,0,2
1267,Winston/Path To Erindale,0,1
1268,Winston/Gunn,0,2
1269,Winston/Westbury,0,2
1270,Willis Way Station,0,1
1272,Grand River Hospital Station,0,1
1273,Charles/Water,0,1
1274,Queen/Rooshill,0,2
1275,Bishop/Conestoga,0,1
1276,Groh/Holiday Inn Dr.,0,1
1277,Ottawa/Lackner,0,1
1278,Groh/Holiday Inn Dr.,0,1
1279,Can-Amera/Conestoga,0,1
1280,Can-Amera/Conestoga,0,1
1281,Franklin/Adam,0,1
1282,Eagle/Whitley,0,1
1283,Eagle/Shettleston,0,1
1284,Eagle/Laurel,0,1
1287,Maple Grove/Saltsman,0,1
1288,Maple Grove/Cherry Blossom,0,1
1289,Eagle/Laurel,0,1
1290,Eagle/Arlington,0,2
1291,Fisher Mills/Scott,0,1
1292,Charles/Water,0,1
1294,Holiday Inn Dr./Tri-City Centre,0,1
1295,200 Holiday Inn Dr.,0,1
1296,Fisher Mills/Scott,0,1
1297,Holiday Inn Dr./Jacob Hespeler Secondary School,0,1
1298,Holiday Inn Dr./Franklin,0,1
1299,Tannery/Queen,0,1
1300,Guelph/Sheffield,0,1
1301,Fisher Mills/Fearnwood,0,2
1302,Scott/Fisher Mills,0,1
1303,Scott/Nickolas,0,2
1304,Scott/Milton,0,2
1305,Poplar/Scott,0,1
1306,Poplar/Dawn,0,1
1307,Guelph/Fisher Mills,0,1
1308,Guelph/Sheffield,0,1
1309,Adam/Tannery,0,1
1310,Franklin/Shamrock,0,1
1311,Bishop/Franklin,0,1
1312,Franklin/Thomas,0,1
1313,Victoria Park Station,0,1
1314,Highland/Westforest,0,1
1315,Holiday Inn Dr./Jacob Hespeler Secondary School,0,1
1316,200 Holiday Inn Dr.,0,1
1317,Holiday Inn Dr./Heritage College,0,1
1318,Conestoga/Lena,0,2
1319,Conestoga/Conestoga Transit Garage,0,2
1320,Bishop/Collier Macmillan,0,1
1321,Bishop/Hespeler Rd.,0,1
1325,Pinebush Station (West Side),0,1
1326,Pinebush/Conestoga,0,1
1327,Pinebush/High Ridge,0,1
1328,Bishop/Cowansview,0,2
1329,Pinebush/Balmoral,0,2
1330,355 Pinebush Rd.,0,2
1331,Pinebush/Fleming,0,1
1332,Fleming/Thompson,0,2
1333,Fleming/Sheldon,0,2
1334,Oldfield/Ottawa,0,1
1335,Sheldon/Balmoral,0,1
1336,Sheldon/Franklin,0,1
1337,Sheldon/Wolseley,0,1
1338,Sheldon/Corydon,0,1
